iteration,target
0,19.37943322655929
1,19.631322188859592
2,19.87825342015357
3,20.119331937421165
4,20.355878958118545
5,20.58885268211871
6,20.817455089143778
7,21.043000608967766
8,21.263809496663146
9,21.478894518648087
10,21.688650219546858
11,21.89446698642085
12,22.09014860414708
13,22.279601506037785
14,22.463044790027414
15,22.638681708485393
16,22.801198760908644
17,22.95113621894167
18,23.089469942698564
19,23.214130169127873
20,23.328804548279567
21,23.432216181091032
22,23.523138933422377
23,23.603862727766227
24,23.676042474453887
25,23.741467918537875
26,23.801155837188166
27,23.855620469934344
28,23.905739087848577
29,23.952299691306962
30,23.99591310603092
31,24.03699493324803
32,24.075933097127056
33,24.112963876655606
34,24.14835604435666
35,24.18223171918159
36,24.214696308581114
37,24.245648696034994
38,24.275430242730874
39,24.303868441772888
40,24.331464964517387
41,24.357710790795874
42,24.3831618684867
43,24.40739939071339
44,24.43111125231825
45,24.453755196554102
46,24.475607012413793
47,24.496480876144474
48,24.516466569289598
49,24.535450886242668
50,24.552861920093836
51,24.569425972097182
52,24.58283139749802
53,24.598839304374003
54,24.611786873607336
55,24.625860916247568
56,24.635316110446638
57,24.649527492952963
58,24.659414330825246
59,24.671097023445338
60,24.679493123487646
61,24.690295007278102
62,24.700275700256277
63,24.70995736826466
64,24.717334261509656
65,24.72691494766513
66,24.734279390164392
67,24.74314568106729
68,24.74931586579578
69,24.758084672162113
70,24.76384581034448
71,24.771775308565118
72,24.776605751801537
73,24.784793577571918
74,24.789343396298115
75,24.796313085759493
76,24.802215922853513
77,24.809335129880083
78,24.81537523911562
79,24.821921658276317
80,24.827337331678343
81,24.833343963603056
82,24.83776547470984
83,24.842784014554343
84,24.846346831729534
85,24.851450860388006
86,24.855011036525877
87,24.860107269893422
88,24.863654948411742
89,24.868378739340404
90,24.871160765545714
91,24.87550516816939
92,24.878129977445706
93,24.88252133975242
94,24.885115426802265
95,24.889496285290555
96,24.89206341225805
97,24.896443503442235
98,24.89881092490895
99,24.90271089876841
100,24.904223860655758
101,24.907367005662984
102,24.908802927753413
103,24.91205381804297
104,24.913341811033426
105,24.916670493270864
106,24.91790999335376
107,24.921270829488527
108,24.922487455706694
109,24.925717716890635
110,24.92667076184897
111,24.92987597133879
112,24.93059666657314
113,24.933292011351334
114,24.933912330551497
115,24.93670903217503
116,24.93727132590039
117,24.940116089068603
118,24.94064517788093
119,24.943521313197834
120,24.94403547168736
121,24.94692804794022
122,24.947431681262746
123,24.950333884863774
124,24.95083166550649
125,24.95374474254708
126,24.95422768016806
127,24.9571271490397
128,24.95760290654971
129,24.96051174131481
130,24.960986573035374
131,24.96390622174341
132,24.964306489018544
133,24.966921693472166
134,24.967023688191126
135,24.969629003227055
136,24.969713331825687
137,24.972334170178105
138,24.972406255224758
139,24.974916152837075
140,24.974779387595383
141,24.977316766759035
142,24.977189983363367
143,24.979721966184588
144,24.979483452706734
145,24.981796340456405
146,24.981564259845758
147,24.98390655799539
148,24.983641799155073
149,24.98598280101168
150,24.98570443679908
151,24.98806379028746
152,24.9877734313327
153,24.990146840865485
154,24.989849368747187
155,24.992229077216273
156,24.991913110634645
157,24.994299415904823
158,24.993979413535946
159,24.996372604944327
160,24.99605157342445
161,24.998450864135293
162,24.998126666326232
163,25.0005316841755
164,25.000207058698845
165,25.002616432061814
166,25.002293825027444
167,25.004710055467513
168,25.00438881584775
169,25.00682124901551
170,25.00708488192298
171,25.009193279526478
172,25.00934552170088
173,25.011550643792578
174,25.011635714606882
175,25.013825713971073
176,25.013722006342505
177,25.01584188514402
178,25.015524153283202
179,25.01765761144542
180,25.017350209263448
181,25.01934500013795
182,25.018846952993492
183,25.020875442926574
184,25.020391136877606
185,25.022407852552085
186,25.021934590293313
187,25.02398646269421
188,25.02471518302399
189,25.02607340260397
190,25.026569923509676
191,25.0280989892126
192,25.028470709072728
193,25.03010518654878
194,25.030411071479204
195,25.032103999684285
196,25.032369489535757
197,25.03409801909468
198,25.034341417990166
199,25.03611163201548
200,25.03683526972963
201,25.038178167870456
202,25.038681508213813
203,25.040146580524848
204,25.040568474473268
205,25.042101194821488
206,25.04236294136307
207,25.04374927408842
208,25.044002514255673
209,25.04543412136128
210,25.04565562250787
211,25.04711589306113
212,25.04732266197539
213,25.048800241473355
214,25.048999737095762
215,25.050488197809727
216,25.050635892314418
217,25.051914768387633
218,25.05199527148262
219,25.053316684697155
220,25.053908060297783
221,25.054979994951264
222,25.055436489827564
223,25.05660625890301
224,25.05699129254548
225,25.058216610884983
226,25.05856862513906
227,25.059822956375676
228,25.060153916759198
229,25.06142319022864
230,25.061748475912736
231,25.063035970198374
232,25.063357510709913
233,25.0646596927902
234,25.064966804742433
235,25.066272725771558
236,25.066579305587993
237,25.06789074480388
238,25.06819796383321
239,25.06954261165082
240,25.070188700190776
241,25.071156207081223
242,25.071641039547774
243,25.07270516409857
244,25.073124930696384
245,25.07423827048955
246,25.074621238939024
247,25.07574790850503
248,25.076118667695926
249,25.077262749528245
250,25.07762685910871
251,25.0787816565139
252,25.07914381334558
253,25.080312086429778
254,25.080673241322316
255,25.08183723634057
256,25.082176987752987
257,25.083347809395036
258,25.083689627702377
259,25.084855571330763
260,25.085005574060013
261,25.086093204581395
262,25.086254003106877
263,25.087330690534838
264,25.08739536775034
265,25.088290772052908
266,25.08837996716874
267,25.08929484232657
268,25.089357957705943
