iteration,target
0,2.760437237999676
1,2.777365652473435
2,2.7937619114126946
3,2.8096749442439086
4,2.8251567617344984
5,2.8401839781119094
6,2.854741929414989
7,2.868918982461851
8,2.8827103496863273
9,2.896038338657555
10,2.9089404908959637
11,2.9213951495298263
12,2.9334948043496927
13,2.9451305473666687
14,2.9563960723077205
15,2.967338308883788
16,2.9779648723004253
17,2.988242343847908
18,2.998243594029248
19,3.007895729160631
20,3.017204450897404
21,3.0262542870773914
22,3.0350761109974798
23,3.0436558430343923
24,3.05197244592749
25,3.060063652898073
26,3.0679527144651715
27,3.075639042808979
28,3.083141120695869
29,3.090417875667986
30,3.0975471769666294
